Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2002,City Council D4,General,4,David A. Freeman,M,n/a,could not find,N,1.96,,n/a,,,,,,,,,,,,,,
2002,City Council D7,General,2,Kriss Worthington,M,n/a,,Y,61.02,,n/a,,,,,,,,,,,,,,
2002,City Council D7,General,2,Micki Weinberg,M,n/a,http://www.jweekly.com/includes/print/18413/article/two-jewish-students-join-berkeley-city-council-race/,N,38.41,,n/a,,,,,,,,,,,,,,
2002,City Council D8,General,4,Gordon Wozniak,M,n/a,,Y,44.25,,n/a,,,,,,,,,,,,,,
2002,City Council D8,General,4,Andy Katz,M,n/a,http://www.eastbaystonewalldemocrats.org/blog/,N,33.21,,n/a,,,,,,,,,,,,,,
2002,City Council D8,General,4,Anne Wagley,F,n/a,could not find,N,19.85,,n/a,,,,,,,,,,,,,,
2002,City Council D8,General,4,Carlos A. Estrada,M,n/a,could not find,N,2.63,,n/a,,,,,,,,,,,,,,
2002,Mayor,General,3,Tom Bates,M,n/a,,Y,55.4,,n/a,,,,,,,,,,,,,,
2002,Mayor,General,3,Shirley Dean,F,n/a,,N,42.94,,n/a,,,,,,,,,,,,,,
2002,Mayor,General,3,John Patrick Boushell,M,n/a,could not find,N,1.45,,n/a,,,,,,,,,,,,,,
2000,City Council D2,General,5,Margaret Breland,F,African American,http://www.sfgate.com/bayarea/article/Margaret-Breland-West-Berkeley-activist-2687374.php,Y,55.33,,Newspaper article,,,,,,,,,,,,,,
2000,City Council D2,General,5,Betty J. Hicks,F,African American,http://www.berkeleydailyplanet.com/issue/2000-10-16/article/1676?headline=Diverse-ideas-for-District-2--Stories-by-Josh-Parr-Daily-Planet-staff-Judith-Sc##1676,N,26.73,,Newpaper article,,,,,,,,,,,,,,
2000,City Council D2,General,5,Carol Hughes-Willoughby,F,African American,http://www.berkeleydailyplanet.com/issue/2000-10-16/article/1676?headline=Diverse-ideas-for-District-2--Stories-by-Josh-Parr-Daily-Planet-staff-Judith-Sc,N,8.7,,Newspaper article,,,,,,,,,,,,,,
2000,City Council D2,General,5,Gina Marie Sasso,F,n/a,http://berkeleyreporter.com/?p=1307,N,4.73,,n/a,,,,,,,,,,,,,,
2000,City Council D2,General,5,Jon Crowder,M,n/a,could not find,N,4.5,,n/a,,,,,,,,,,,,,,
2000,City Council D3,General,3,Maudelle Miller Shirek,F,African American,http://www.contracostatimes.com/ci_23030868/maudelle-shirek-conscience-berkeley-city-council-dies-at,Y,73.31,,Photo,,,,,,,,,,,,,,
2000,City Council D3,General,3,James E. Peterson,M,Undetermined,,N,19.61,,n/a,,,,,,,,,,,,,,
2000,City Council D3,General,3,Marcella Crump-Williams,F,Undetermined,http://archive.dailycal.org/article.php?id=3824,N,7.08,,n/a,,,,,,,,,,,,,,
2000,City Council D5,General,5,"Miriam ""Mim"" Hawley",F,n/a,could not find,Y,56.93,,n/a,,,,,,,,,,,,,,
2000,City Council D5,General,5,Tom Kelly,M,Undetermined,,N,17.08,,n/a,,,,,,,,,,,,,,
2000,City Council D5,General,5,Carrie Olson,F,n/a,http://www.sfgate.com/bayarea/article/Berkeley-Coffee-Clash-Loyal-latte-lovers-win-a-3237351.php,N,15.03,,n/a,,,,,,,,,,,,,,
2000,City Council D5,General,5,Benjamin Rodefer,M,n/a,http://www.smartvoter.org/2000/11/07/ca/alm/vote/rodefer_b/,N,8.99,,n/a,,,,,,,,,,,,,,
2000,City Council D5,General,5,Mark T. Fowler,M,n/a,could not find,N,1.98,,n/a,,,,,,,,,,,,,,
2000,City Council D6,General,3,Betty Olds,F,n/a,,Y,63.14,,n/a,,,,,,,,,,,,,,
2000,City Council D6,General,3,Norine Smith,F,n/a,,N,22.25,,n/a,,,,,,,,,,,,,,
2000,City Council D6,General,3,Eleanor E. Pepples,F,Undetermined,,N,14.61,,n/a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
