Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2012,City Council D5,RCV,4,"Aracely ""Shelly"" Garza",F,Latino,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,6.67,,Photo- see H,,,,,,,,,,,,,,
2012,City Council D7,RCV,3,Larry E. Reid,M,African American,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,Y,57.96,,Photo- see H,,,,,,,,,,,,,,
2012,City Council D7,RCV,3,Sheryl Walton,F,African American,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,31.45,,Photo- see H,,,,,,,,,,,,,,
2012,City Council D7,RCV,3,Beverly Williams,F,African American,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,9.88,,Photo- see H,,,,,,,,,,,,,,
2012,School Director D1,RCV,2,Jody London,F,n/a,http://www.ousd.org/Page/457,Y,75.45,,n/a,,,,,,,,,,,,,,
2012,School Director D1,RCV,2,Thearse Pecot,F,African American,https://www.linkedin.com/pub/thearse-pecot/59/904/a62,N,23.85,,Photo- see H,,,,,,,,,,,,,,
2012,School Director D3,RCV,3,Jumoke Hinton Hodge,F,African American,http://www.ousd.org/Page/458,Y,46.8,61.03,Photo- see H,,,,,,,,,,,,,,
2012,School Director D3,RCV,3,Richard Fuentes,M,Latino,http://www.smartvoter.org/2012/11/06/ca/alm/vote/fuentes_r/bio.html,N,26.76,38.97,n/a,,,,,,,,,,,,,,
2012,School Director D3,RCV,3,Benjamin Lang,M,n/a,http://www.smartvoter.org/2012/11/06/ca/alm/vote/lang_b/,N,25.6,,n/a,,,,,,,,,,,,,,
2012,School Director D5,RCV,2,Rosie Torres,F,Latino,http://www.ousd.org/Page/9837,Y,54.38,,Photo- see H,,,,,,,,,,,,,,
2012,School Director D5,RCV,2,Mike Hutchinson,M,African American,https://www.facebook.com/MikeHutchinson4SchoolBoard/info?tab=page_info,N,44.9,,Photo- see H,,,,,,,,,,,,,,
2012,School Director D7,RCV,2,James Harris,M,African American,http://www.ousd.org/Page/9838,Y,56.63,,Photo- see H,,,,,,,,,,,,,,
2012,School Director D7,RCV,2,Alice A. Spearman,F,African American,http://www.smartvoter.org/2012/11/06/ca/alm/vote/spearman_a/bio.html,N,42.28,,Photo- see H,,,,,,,,,,,,,,
2010,City Auditor,RCV,2,Courtney Ruby,F,n/a,,Y,66.98,,,,,,,,,,,,,,,,
2010,City Auditor,RCV,2,Michael Kilian,M,n/a,https://vimeo.com/15900885,N,31.81,,Video- see H,,,,,,,,,,,,,,
2010,City Council D2,RCV,2,Patricia Kernighan,F,n/a,http://www.contracostatimes.com/news/ci_24736302/pat-kernighan-wont-seek-re-election-oakland-council,Y,65.72,,Photo- see H,,,,,,,,,,,,,,
2010,City Council D2,RCV,2,Jennifer S. Pae,F,Asian,http://www.smartvoter.org/2010/11/02/ca/alm/vote/pae_j/bio.html,N,33.73,,Photo- see H,,,,,,,,,,,,,,
2010,City Council D4,RCV,7,Libby Schaaf,F,n/a,,Y,41.77,53.07,,,,,,,,,,,,,,,
2010,City Council D4,RCV,7,Jill Broadhurst,F,n/a,,N,22.9,29.63,,,,,,,,,,,,,,,
2010,City Council D4,RCV,7,Melanie Shelby,F,African American,https://playingwithpolitics.wordpress.com/2010/08/17/melanie-shelby-wont-play-with-politics/,N,11.69,17.3,Photo-see H,,,,,,,,,,,,,,
