Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2011,Sheriff,RCV,4,Paul Miyamoto,M,Asian,http://paulmiyamoto.com/sanfranciscofamily/,N,27.15,0,Website- He is quoted,,,,,,,,,,,,,,
2011,Sheriff,RCV,4,David Wong,M,Asian,http://www.sfweekly.com/thesnitch/2011/06/22/deputy-david-wong-candidate-for-sheriff-gets-fired,N,6.17,0,Photo- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Lynette Sweet,F,African American,http://www.smartvoter.org/2010/11/02/ca/sf/vote/sweet_l/,N,12.07,,Photo- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Tony Kelly,M,n/a,,N,11.83,47.3,,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Malia Cohen,F,African American,,Y,11.77,52.7,,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Marlene Tran,F,Asian,,N,11.51,,,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Steve Moss,M,n/a,http://www.smartvoter.org/2010/11/02/ca/sf/vote/moss_s/,N,11.06,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Teresa Duque,F,n/a,http://www.smartvoter.org/2010/11/02/ca/sf/vote/duque_t/,N,8.06,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Dewitt M. Lacy,M,African American,http://sfbayview.com/2010/11/win-our-fair-share-with-dewitt-lacy-supervisor-district-10/,N,7.18,,"Photo- his profile is done by a ""national black"" newspaper",,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Chris Jackson,M,African American,http://www.sfbg.com/politics/2010/05/11/chris-jackson-leaps-district-10-race,N,6.13,,Article,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Kristine Enea,F,n/a,http://www.smartvoter.org/2010/11/02/ca/sf/vote/enea_k/,N,3.07,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Eric Smith,M,African American,http://www.smartvoter.org/2010/11/02/ca/sf/vote/smith_e/,N,2.53,,Photo- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,James M. Calloway,M,African American,https://www.facebook.com/DrJamesCalloway/info?tab=page_info,N,2.33,,Photo- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Diane Wesley Smith,F,African American,http://www.smartvoter.org/2010/11/02/ca/sf/vote/smith_d/,N,2.2,,Photo- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Geoffrea Morris,F,African American,http://www.smartvoter.org/2010/11/02/ca/sf/vote/morris_g/,N,1.86,,Photo- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Stephen Weber,M,n/a,could not find,N,1.75,,,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Ashley H. Rhodes,?,n/a,could not find,N,1.46,,,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,"Rodney Hampton, Jr.",M,African American,http://www.smartvoter.org/2006/11/07/ca/sf/vote/hampton_r/bio.html and http://sfbayview.com/2013/07/inner-city-youth-adventures-juneteenth-in-the-fillmore-whops-neighborhood-connect-in-gilman-park/,N,1.33,,"He is cited as attending an ""African American"" gathering",,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Ed Donaldson,M,African American,https://www.facebook.com/Ed-Donaldson-for-District-10-Supervisor-320895614729402/,N,1.14,,Photo- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Jackie Norman,F,African American,https://sites.google.com/a/jackieforsupervisor.org/www/home,N,1.03,,Photo- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,Nyese Joshua,F,African American,http://sfbayview.com/2010/09/where-has-the-love-of-san-francisco-gone/,N,0.76,,"Her article is written for the ""national black newspaper""- self- described",,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,M.J. Marie Franklin,F,African American,https://www.youtube.com/watch?v=IvpTaBCxunc,N,0.45,,Video- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D10,RCV,21,"Ellsworth ""Ell"" Jennison",M,n/a,could not find,N,0.38,,,,,,,,,,,,,,,,
2010,Board of Supervisors D2,RCV,6,Janet Reilly,F,n/a,http://janetreilly.com/,N,41.09,49.43,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D2,RCV,6,Mark E. Farrell,M,n/a,,Y,40.26,50.57,,,,,,,,,,,,,,,
2010,Board of Supervisors D2,RCV,6,Abraham Simmons,M,African American,http://sfappeal.com/2010/10/your-guide-to-the-guides-everyone-elses-endorsements-of-the-sf-candidates/ and https://www.youtube.com/watch?v=74z2MLNL76c,N,8.61,,Video- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D2,RCV,6,Kat Anderson,F,n/a,http://sfcitizen.com/blog/tag/kat-anderson/,N,7.09,,Video- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D2,RCV,6,Barbara Berwick,F,n/a,http://www.reuters.com/article/2015/06/18/us-uber-california-lawsuit-idUSKBN0OY03O20150618,N,2.22,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D2,RCV,6,Vilma B. Guinto Peoro,F,Asian,http://www.filipino-adoptees-network.org/?p=664,N,0.66,,Her information is archived on the Filipino Adoptee Network,,,,,,,,,,,,,,
2010,Board of Supervisors D4,RCV,1,Carmen Chu,F,Asian,http://www.sfbos.org/index.aspx?page=2067,Y,98.56,,Photo- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,Jane Kim,F,Asian,http://www.sfbos.org/index.aspx?page=11324,Y,31.41,54.08,Website- self-identifies,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,Debra Walker,F,n/a,https://www.youtube.com/watch?v=sMlWKwFNmaI,N,26.93,45.92,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,Theresa Sparks,F,n/a,http://www.npr.org/templates/story/story.php?storyId=130703278,N,17.08,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,James Keys,M,African American,http://sfbayview.com/2010/10/elect-james-keys-district-6-supervisor-in-san-francisco/,N,4.56,,"Wrote his own profile piece for a ""national black"" newspaper",,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,Matt Drake,M,n/a,http://www.smartvoter.org/2010/11/02/ca/sf/vote/drake_m/,N,4.5,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,"Glendon ""Anna Conda"" Hyde",M,n/a,http://www.beyondchron.org/interview-with-glendon-anna-conda-hyde/,N,3.27,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,Elaine Zamora,F,Latino,http://www.beyondchron.org/bay-guardian-endorsements-ignore-progressive-diversity/,N,3.02,,Article,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,Dean Clark,M,n/a,https://www.linkedin.com/in/deanclarksf,N,2.84,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,Jim Meko,M,n/a,http://www.examiner.com/article/a-community-hero-jim-meko-san-francisco,N,1.93,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,George Vazhappally,M,Asian,http://www.smartvoter.org/2010/11/02/ca/sf/vote/vazhappally_g/bio.html,N,1.14,,Website- self-identifies,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,Matt Ashe,M,Undetermined,http://www.smartvoter.org/2010/11/02/ca/sf/race/03/,N,0.88,,,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,H. Brown,M,n/a,http://www.sfbg.com/politics/2014/01/23/h-brown-goodbye-all-we-hope,N,0.86,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,George Davis,M,n/a,https://supervisorgeorgedavis.wordpress.com/ and http://www.people.com/article/george-davis-nude-san-francisco-candidate,N,0.74,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D6,RCV,14,"Fortunate ""Nate"" Payne",M,African American,http://www.livesoma.com/2010/09/29/who-the-hell-is-nate-payne/,N,0.71,,Video- see H,,,,,,,,,,,,,,
2010,Board of Supervisors D8,RCV,4,Scott Wiener,M,n/a,,Y,42.41,55.39,,,,,,,,,,,,,,,
2010,Board of Supervisors D8,RCV,4,Rafael Mandelman,M,n/a,https://www.ccsf.edu/en/about-city-college/board-of-trustees/rafaelmandelman.html,N,35.58,44.61,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D8,RCV,4,Rebecca Prozan,F,n/a,http://www.rebeccaprozan.com/about,N,16.79,,n/a,,,,,,,,,,,,,,
2010,Board of Supervisors D8,RCV,4,Bill Hemenger,M,n/a,http://ebar.com/blogs/d8-supervisor-candidate-bill-hemenger-spins-lack-of-endorsements-opens-noe-valley-office/,N,5.13,,n/a,,,,,,,,,,,,,,
2009,City Attorney,RCV,1,Dennis J. Herrera,M,Latino,,Y,96.84,,,,,,,,,,,,,,,,
2009,Treasurer,RCV,1,Jose Cisneros,M,Latino,,Y,97.07,,,,,,,,,,,,,,,,
2008,Board of Supervisors D1,RCV,9,Eric Mar,M,Asian,,Y,40.52,50.67,,,,,,,,,,,,,,,
2008,Board of Supervisors D1,RCV,9,Sue Lee,F,Asian,http://www.asianweek.com/2008/07/30/sue-lee-tells-supes-to-play-nice/,N,33.93,49.33,Her profile is done on an Asian American site,,,,,,,,,,,,,,
